,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
119,208,7002,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.249,0.249,1.629,0.0,1.1440000000000001,1.518,-0.531,-0.366,SSE,3.347,3.612,17.73
120,209,7003,joint,1,1,Nash,0,0,0,0.62,0.62,0.157,0.0,5.055,,,,SSE,14.288,-42.831,98.13799999999999
121,209,7003,joint,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,6.218,,,,SSE,15.984000000000002,-46.42,105.31700000000001
122,209,7003,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.073,0.0,-10.775,19.976,,,SSE,13.536,-41.099,98.833
123,209,7003,joint,4,100,Greed,0,0,0,0.741,0.741,0.231,0.0,4.802,,,,SSE,12.225999999999999,-37.841,88.15899999999999
124,209,7003,joint,5,101,Greed_Nash,0,0,0,1.297,1.297,0.09300000000000001,0.0,10.437000000000001,2.397,,,SSE,12.216,-37.817,92.27
125,209,7003,joint,6,110,Greed_Risk,0,0,0,0.249,0.249,0.287,0.0,3.6510000000000002,-0.042,,,SSE,12.355,-38.178000000000004,92.992
126,209,7003,joint,7,111,Greed_Risk_Nash,0,0,0,0.205,0.205,0.266,0.0,3.372,-0.5489999999999999,1.11,,SSE,12.315,-38.075,96.944
127,209,7003,joint,8,1000,Coop,0,0,0,1.935,1.935,0.41600000000000004,0.0,1.112,,,,SSE,11.550999999999998,-36.029,84.53399999999999
128,209,7003,joint,9,1001,Coop_Nash,0,0,0,1.765,1.765,0.439,0.0,0.924,2.049,,,SSE,9.515,-29.822,76.28
129,209,7003,joint,10,1010,Coop_Risk,0,0,0,1.614,1.614,0.26,0.0,1.052,-0.902,,,SSE,12.852,-39.444,95.523
130,209,7003,joint,11,1011,Coop_Risk_Nash,0,0,0,0.966,0.966,0.508,0.0,1.018,-2.12,2.799,,SSE,10.294,-32.341,85.477
131,209,7003,joint,12,1100,Coop_Greed,0,0,0,2.344,2.344,0.265,0.0,1.507,5.086,,,SSE,7.627999999999999,-22.748,62.132
132,209,7003,joint,13,1101,Coop_Greed_Nash,0,0,0,2.437,2.437,0.249,0.0,1.534,4.071000000000001,0.856,,SSE,7.843999999999999,-23.643,68.081
133,209,7003,joint,14,1110,Coop_Greed_Risk,0,0,0,1.8630000000000002,1.8630000000000002,0.316,0.0,1.9469999999999998,4.077,-1.4969999999999999,,SSE,8.163,-24.916999999999998,70.62899999999999
134,209,7003,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.887,0.887,0.57,0.0,0.8440000000000001,1.8630000000000002,-0.813,0.233,SSE,8.592,-26.557,78.068
135,210,7005,joint,1,1,Nash,0,0,0,0.159,0.159,0.099,0.0,3.693,,,,SSE,7.444,-21.968000000000004,56.412
136,210,7005,joint,2,10,Risk,0,0,0,0.384,0.384,0.07200000000000001,0.0,-2.311,,,,SSE,7.784,-23.396,59.269
137,210,7005,joint,3,11,Risk_Nash,0,0,0,0.061,0.061,0.174,0.0,-3.2889999999999997,4.505,,,SSE,6.831,-19.218,55.071999999999996
138,210,7005,joint,4,100,Greed,0,0,0,1.0859999999999999,1.0859999999999999,0.11900000000000001,0.0,4.276,,,,SSE,6.662999999999999,-18.422,49.32
139,210,7005,joint,5,101,Greed_Nash,0,0,0,0.135,0.135,0.772,0.0,0.628,0.011000000000000001,,,SSE,6.669,-18.449,53.534
140,210,7005,joint,6,110,Greed_Risk,0,0,0,0.32299999999999995,0.32299999999999995,0.253,0.0,2.041,-1.031,,,SSE,6.6129999999999995,-18.184,53.003
141,210,7005,joint,7,111,Greed_Risk_Nash,0,0,0,0.251,0.251,0.235,0.0,1.446,-1.808,1.4580000000000002,,SSE,6.52,-17.73,56.254
142,210,7005,joint,8,1000,Coop,0,0,0,1.375,1.375,0.47700000000000004,0.0,0.888,,,,SSE,4.512,-5.947,24.37
143,210,7005,joint,9,1001,Coop_Nash,0,0,0,1.136,1.136,0.507,0.0,0.7829999999999999,0.478,,,SSE,4.087,-2.7769999999999997,22.19
144,210,7005,joint,10,1010,Coop_Risk,0,0,0,0.69,0.69,0.419,0.0,0.9209999999999999,-1.235,,,SSE,5.36,-11.456,39.547
145,210,7005,joint,11,1011,Coop_Risk_Nash,0,0,0,0.179,0.179,1.6340000000000001,0.0,0.23199999999999998,-0.546,0.402,,SSE,4.606,-6.609,34.013000000000005
146,210,7005,joint,12,1100,Coop_Greed,0,0,0,1.248,1.248,0.441,0.0,0.726,1.605,,,SSE,3.17,5.351,5.934
147,210,7005,joint,13,1101,Coop_Greed_Nash,0,0,0,1.328,1.328,0.433,0.0,0.758,1.626,-0.177,,SSE,2.998,7.1370000000000005,6.521
148,210,7005,joint,14,1110,Coop_Greed_Risk,0,0,0,1.037,1.037,0.33,0.0,1.208,2.076,-1.876,,SSE,3.6519999999999997,0.8170000000000001,19.16
149,210,7005,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.531,0.531,0.588,0.0,0.6459999999999999,0.9690000000000001,-1.209,0.319,SSE,3.795,-0.41,25.774
150,211,7006,joint,1,1,Nash,0,0,0,1.159,1.159,0.188,0.0,0.039,,,,SSE,9.347999999999999,-29.750999999999998,71.979
151,211,7006,joint,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,4.671,,,,SSE,9.729,-30.929000000000002,74.335
152,211,7006,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.017,0.0,-7.31,19.979,,,SSE,9.488999999999999,-30.156,76.947
153,211,7006,joint,4,100,Greed,0,0,0,1.031,1.031,0.25,0.0,-0.47600000000000003,,,,SSE,8.968,-28.487,69.45
154,211,7006,joint,5,101,Greed_Nash,0,0,0,1.101,1.101,0.172,0.0,-0.885,0.08,,,SSE,8.861,-28.141,72.917
155,211,7006,joint,6,110,Greed_Risk,0,0,0,0.335,0.335,0.16,0.0,0.8009999999999999,-0.17600000000000002,,,SSE,9.507,-30.232,77.101
156,211,7006,joint,7,111,Greed_Risk_Nash,0,0,0,0.337,0.337,0.18100000000000002,0.0,-0.24600000000000002,-1.123,1.405,,SSE,9.339,-29.698,80.191
157,211,7006,joint,8,1000,Coop,0,0,0,0.43799999999999994,0.43799999999999994,1.56,0.0,0.818,,,,SSE,5.104,-9.891,32.259
158,211,7006,joint,9,1001,Coop_Nash,0,0,0,2.103,2.103,0.27399999999999997,0.0,4.4030000000000005,-1.588,,,SSE,4.724,-7.412000000000001,31.46
159,211,7006,joint,10,1010,Coop_Risk,0,0,0,0.9890000000000001,0.9890000000000001,0.295,0.0,3.173,-1.205,,,SSE,6.8020000000000005,-19.084,54.803999999999995
160,211,7006,joint,11,1011,Coop_Risk_Nash,0,0,0,1.952,1.952,0.14800000000000002,0.0,6.495,-3.202,0.755,,SSE,6.355,-16.905,54.604
161,211,7006,joint,12,1100,Coop_Greed,0,0,0,1.3780000000000001,1.3780000000000001,0.491,0.0,2.895,-1.308,,,SSE,3.687,0.513,15.61
162,211,7006,joint,13,1101,Coop_Greed_Nash,0,0,0,2.198,2.198,0.24100000000000002,0.0,4.896,-1.736,-1.354,,SSE,3.925,-1.4909999999999999,23.776
