,choice,cost,player_type,score,trial,work_confidence,block,pay_inspect,batch,subID,mode,psiturk_status,data_status,bonus,choice_num
25,inspect,5,pess,35,10,,1,5,batch2,3002,live,4,complete,0.46,1
26,not inspect,6,pess,40,11,,1,5,batch2,3002,live,4,complete,0.46,0
27,inspect,5,pess,35,12,,1,5,batch2,3002,live,4,complete,0.46,1
28,not inspect,6,pess,40,13,,1,5,batch2,3002,live,4,complete,0.46,0
29,inspect,5,pess,35,14,,1,5,batch2,3002,live,4,complete,0.46,1
0,inspect,15,opt,15,0,10.0,0,28,batch2,3005,live,4,complete,0.2,1
1,inspect,25,opt,5,1,10.0,0,28,batch2,3005,live,4,complete,0.2,1
2,inspect,30,opt,0,2,10.0,0,28,batch2,3005,live,4,complete,0.2,1
3,inspect,30,opt,0,3,10.0,0,28,batch2,3005,live,4,complete,0.2,1
4,inspect,30,opt,0,4,10.0,0,28,batch2,3005,live,4,complete,0.2,1
5,inspect,30,opt,0,5,10.0,0,28,batch2,3005,live,4,complete,0.2,1
6,inspect,30,opt,0,6,10.0,0,28,batch2,3005,live,4,complete,0.2,1
7,inspect,30,opt,0,7,10.0,0,28,batch2,3005,live,4,complete,0.2,1
8,inspect,30,opt,0,8,10.0,0,28,batch2,3005,live,4,complete,0.2,1
9,inspect,30,opt,0,9,10.0,0,28,batch2,3005,live,4,complete,0.2,1
10,inspect,30,opt,0,10,,0,28,batch2,3005,live,4,complete,0.2,1
11,inspect,30,opt,0,11,,0,28,batch2,3005,live,4,complete,0.2,1
12,inspect,30,opt,0,12,,0,28,batch2,3005,live,4,complete,0.2,1
13,inspect,30,opt,0,13,,0,28,batch2,3005,live,4,complete,0.2,1
14,inspect,30,opt,0,14,,0,28,batch2,3005,live,4,complete,0.2,1
15,inspect,15,pess,25,0,50.0,1,20,batch2,3005,live,4,complete,0.2,1
16,not inspect,25,pess,40,1,50.0,1,20,batch2,3005,live,4,complete,0.2,0
17,inspect,15,pess,25,2,50.0,1,20,batch2,3005,live,4,complete,0.2,1
18,not inspect,25,pess,40,3,50.0,1,20,batch2,3005,live,4,complete,0.2,0
19,inspect,20,pess,20,4,50.0,1,20,batch2,3005,live,4,complete,0.2,1
20,not inspect,23,pess,40,5,50.0,1,20,batch2,3005,live,4,complete,0.2,0
21,not inspect,22,pess,40,6,50.0,1,20,batch2,3005,live,4,complete,0.2,0
