,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
3,4,def,coop,SG,Nash,pess,batch6,7010,live,4,complete,0.24
0,1,def,def,SH,Nash,pess,batch6,7010,live,4,complete,0.24
1,2,def,coop,HG,none,opt,batch7,8001,live,4,complete,0.63
2,3,def,def,PD,none,opt,batch7,8001,live,4,complete,0.63
3,4,def,def,SG,none,opt,batch7,8001,live,4,complete,0.63
0,1,coop,coop,SH,none,opt,batch7,8001,live,4,complete,0.63
1,2,coop,coop,HG,trust,none,batch7,8002,live,4,complete,0.2
2,3,coop,coop,PD,trust,none,batch7,8002,live,4,complete,0.2
3,4,coop,def,SG,trust,none,batch7,8002,live,4,complete,0.2
0,1,coop,coop,SH,trust,none,batch7,8002,live,4,complete,0.2
1,2,coop,coop,HG,trust,trust,batch7,8006,live,4,complete,0.59
2,3,coop,coop,PD,trust,trust,batch7,8006,live,4,complete,0.59
3,4,coop,coop,SG,trust,trust,batch7,8006,live,4,complete,0.59
0,1,coop,coop,SH,trust,trust,batch7,8006,live,4,complete,0.59
1,2,coop,coop,HG,trust,trust,batch7,8011,live,4,complete,0.58
2,3,coop,coop,PD,trust,trust,batch7,8011,live,4,complete,0.58
3,4,coop,coop,SG,trust,trust,batch7,8011,live,4,complete,0.58
0,1,coop,coop,SH,trust,trust,batch7,8011,live,4,complete,0.58
1,2,coop,def,HG,trust,none,batch7,8013,live,4,complete,0.23
2,3,coop,coop,PD,trust,none,batch7,8013,live,4,complete,0.23
3,4,coop,coop,SG,trust,none,batch7,8013,live,4,complete,0.23
0,1,coop,coop,SH,trust,none,batch7,8013,live,4,complete,0.23
1,2,coop,coop,HG,trust,trust,batch7,8014,live,4,complete,0.64
2,3,coop,coop,PD,trust,trust,batch7,8014,live,4,complete,0.64
3,4,coop,coop,SG,trust,trust,batch7,8014,live,4,complete,0.64
0,1,coop,coop,SH,trust,trust,batch7,8014,live,4,complete,0.64
1,2,coop,coop,HG,Nash,pess,batch7,8016,live,4,complete,0.33
2,3,def,def,PD,Nash,pess,batch7,8016,live,4,complete,0.33
3,4,def,coop,SG,Nash,pess,batch7,8016,live,4,complete,0.33
0,1,def,def,SH,Nash,pess,batch7,8016,live,4,complete,0.33
1,2,coop,coop,HG,trust,Nash,batch7,8020,live,4,complete,0.61
2,3,coop,def,PD,trust,Nash,batch7,8020,live,4,complete,0.61
3,4,coop,def,SG,trust,Nash,batch7,8020,live,4,complete,0.61
0,1,coop,def,SH,trust,Nash,batch7,8020,live,4,complete,0.61
1,2,coop,coop,HG,none,trust,batch7,8021,live,4,complete,0.23
