,trial,S,T,gt,player_type,choice,conf,score,score_cumul,radio_RT,submit_RT,block,self-report,batch,subID,mode,psiturk_status,data_status,bonus
29,13,7,5,HG,pess,coop,90%,1,21,3476,5091,1,Highest number,batch1,2007,live,4,complete,0.22
30,14,3,12,PD,pess,def,100%,1,22,2133,3781,1,Highest number,batch1,2007,live,4,complete,0.22
31,15,10,15,SG,pess,def,90%,0,22,3740,5388,1,Highest number,batch1,2007,live,4,complete,0.22
0,0,3,12,PD,pess,coop,60%,0,0,5727,8109,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
1,1,7,8,HG,pess,def,70%,0,0,5272,6771,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
2,2,3,8,SH,pess,def,70%,1,1,1831,2958,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
3,3,7,12,SG,pess,def,50%,0,1,2488,3524,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
4,4,0,15,PD,pess,coop,80%,0,1,2075,3522,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
5,5,0,8,SH,pess,def,70%,1,2,1675,2612,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
6,6,7,15,SG,pess,coop,70%,1,3,2831,3712,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
7,7,7,5,HG,pess,coop,80%,1,4,3079,4133,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
8,8,3,15,PD,pess,def,50%,1,5,1937,2700,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
9,9,0,5,SH,pess,def,70%,1,6,3053,3969,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
10,10,10,5,HG,pess,coop,80%,1,7,1898,2795,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
11,11,10,15,SG,pess,def,60%,0,7,1727,2504,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
12,12,10,12,SG,pess,coop,70%,1,8,8408,10163,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
13,13,0,12,PD,pess,def,70%,1,9,2478,3597,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
14,14,3,5,SH,pess,coop,80%,0,9,1813,5450,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
15,15,10,8,HG,pess,def,70%,0,9,1872,2898,0,"not sure, he sweitched up a lot.",batch1,2010,live,4,complete,0.21
16,0,10,12,SG,opt,def,70%,1,10,4545,5699,1,try and get more then me,batch1,2010,live,4,complete,0.21
17,1,0,12,PD,opt,coop,60%,0,10,3114,4446,1,try and get more then me,batch1,2010,live,4,complete,0.21
18,2,3,5,SH,opt,coop,90%,1,11,5804,7021,1,try and get more then me,batch1,2010,live,4,complete,0.21
19,3,7,8,HG,opt,coop,80%,1,12,7414,8526,1,try and get more then me,batch1,2010,live,4,complete,0.21
20,4,10,5,HG,opt,def,70%,0,12,1862,4398,1,try and get more then me,batch1,2010,live,4,complete,0.21
21,5,3,12,PD,opt,def,70%,1,13,1726,2873,1,try and get more then me,batch1,2010,live,4,complete,0.21
22,6,3,8,SH,opt,coop,80%,1,14,1889,3778,1,try and get more then me,batch1,2010,live,4,complete,0.21
23,7,10,15,SG,opt,def,80%,1,15,1720,2982,1,try and get more then me,batch1,2010,live,4,complete,0.21
24,8,0,15,PD,opt,def,80%,1,16,32117,33290,1,try and get more then me,batch1,2010,live,4,complete,0.21
25,9,7,12,SG,opt,def,80%,1,17,2699,4408,1,try and get more then me,batch1,2010,live,4,complete,0.21
