,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
165,6,5006,2,N.N.,opt,inv,opt_inv,5,7,8,HG,"['Not', 'Defined']",def,coop,47,0,4292,7798,not defined
166,6,5006,2,N.N.,opt,inv,opt_inv,6,3,5,SH,"['Not', 'Defined']",def,def,32,1,12072,18430,not defined
167,6,5006,2,N.N.,opt,inv,opt_inv,7,3,15,PD,"['Not', 'Defined']",coop,def,47,0,20188,23241,not defined
168,6,5006,2,N.N.,opt,inv,opt_inv,8,0,15,PD,"['Not', 'Defined']",coop,def,48,0,6656,7865,not defined
169,6,5006,2,N.N.,opt,inv,opt_inv,9,10,8,HG,"['Not', 'Defined']",def,coop,43,0,6572,8235,not defined
170,6,5006,2,N.N.,opt,inv,opt_inv,10,10,12,SG,"['Not', 'Defined']",coop,coop,47,1,4913,10130,not defined
171,6,5006,2,N.N.,opt,inv,opt_inv,11,0,5,SH,"['Not', 'Defined']",def,def,40,1,5952,8604,not defined
172,6,5006,2,N.N.,opt,inv,opt_inv,12,0,12,PD,"['Not', 'Defined']",coop,def,49,0,7294,9056,not defined
173,6,5006,2,N.N.,opt,inv,opt_inv,13,3,8,SH,"['Not', 'Defined']",def,def,42,1,13448,14908,not defined
174,6,5006,2,N.N.,opt,inv,opt_inv,14,10,5,HG,"['Not', 'Defined']",def,coop,43,0,5147,8267,not defined
175,6,5006,2,N.N.,opt,inv,opt_inv,15,7,12,SG,"['Not', 'Defined']",coop,coop,41,1,7479,9124,not defined
176,6,5006,3,N.N.,pes,_inv,pess_inv,0,7,5,HG,"['Not', 'Defined']",def,coop,50,0,8754,10263,not defined
177,6,5006,3,N.N.,pes,_inv,pess_inv,1,3,5,SH,"['Not', 'Defined']",coop,def,45,0,13046,14539,not defined
178,6,5006,3,N.N.,pes,_inv,pess_inv,2,7,12,SG,"['Not', 'Defined']",def,def,44,1,25221,27636,not defined
179,6,5006,3,N.N.,pes,_inv,pess_inv,3,3,15,PD,"['Not', 'Defined']",coop,def,48,0,6572,12174,not defined
180,6,5006,3,N.N.,pes,_inv,pess_inv,4,0,5,SH,"['Not', 'Defined']",coop,def,43,0,7814,10548,not defined
181,6,5006,3,N.N.,pes,_inv,pess_inv,5,0,15,PD,"['Not', 'Defined']",coop,coop,46,1,5297,6808,not defined
182,6,5006,3,N.N.,pes,_inv,pess_inv,6,7,15,SG,"['Not', 'Defined']",def,coop,43,0,12760,13919,not defined
183,6,5006,3,N.N.,pes,_inv,pess_inv,7,10,8,HG,"['Not', 'Defined']",def,coop,43,0,9574,10718,not defined
184,6,5006,3,N.N.,pes,_inv,pess_inv,8,10,12,SG,"['Not', 'Defined']",def,coop,44,0,7981,9609,not defined
185,6,5006,3,N.N.,pes,_inv,pess_inv,9,3,8,SH,"['Not', 'Defined']",coop,coop,47,1,3621,4947,not defined
186,6,5006,3,N.N.,pes,_inv,pess_inv,10,10,5,HG,"['Not', 'Defined']",def,coop,48,0,2563,3606,not defined
187,6,5006,3,N.N.,pes,_inv,pess_inv,11,3,12,PD,"['Not', 'Defined']",coop,def,33,0,6372,8183,not defined
188,6,5006,3,N.N.,pes,_inv,pess_inv,12,10,15,SG,"['Not', 'Defined']",def,def,47,1,7947,9408,not defined
189,6,5006,3,N.N.,pes,_inv,pess_inv,13,0,12,PD,"['Not', 'Defined']",coop,def,53,0,3303,4712,not defined
190,6,5006,3,N.N.,pes,_inv,pess_inv,14,0,8,SH,"['Not', 'Defined']",coop,coop,41,1,5552,6860,not defined
191,6,5006,3,N.N.,pes,_inv,pess_inv,15,7,8,HG,"['Not', 'Defined']",def,coop,44,0,4074,5350,not defined
192,6,5006,4,N.N.,pes,_nat,pess_nat,0,7,15,SG,"['Not', 'Defined']",coop,def,36,0,10295,11907,not defined
193,6,5006,4,N.N.,pes,_nat,pess_nat,1,0,12,PD,"['Not', 'Defined']",def,def,44,1,3739,5400,not defined
194,6,5006,4,N.N.,pes,_nat,pess_nat,2,3,5,SH,"['Not', 'Defined']",def,def,45,1,4812,6826,not defined
195,6,5006,4,N.N.,pes,_nat,pess_nat,3,7,5,HG,"['Not', 'Defined']",coop,coop,41,1,2247,3657,not defined
196,6,5006,4,N.N.,pes,_nat,pess_nat,4,3,12,PD,"['Not', 'Defined']",def,def,56,1,2699,4663,not defined
197,6,5006,4,N.N.,pes,_nat,pess_nat,5,7,8,HG,"['Not', 'Defined']",coop,coop,56,1,2699,5718,not defined
198,6,5006,4,N.N.,pes,_nat,pess_nat,6,0,8,SH,"['Not', 'Defined']",def,def,66,1,2112,4846,not defined
199,6,5006,4,N.N.,pes,_nat,pess_nat,7,10,15,SG,"['Not', 'Defined']",coop,coop,71,1,3538,6005,not defined
200,6,5006,4,N.N.,pes,_nat,pess_nat,8,10,12,SG,"['Not', 'Defined']",coop,coop,70,1,2800,5451,not defined
201,6,5006,4,N.N.,pes,_nat,pess_nat,9,0,15,PD,"['Not', 'Defined']",def,def,80,1,2900,5132,not defined
202,6,5006,4,N.N.,pes,_nat,pess_nat,10,0,5,SH,"['Not', 'Defined']",def,def,68,1,2280,4797,not defined
