,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
93,4,2004,1,D.T.,pess,nat,pess_nat,13,7,15,SG,"['Blue', 'Yellow']",coop,def,10.0,0,2118.0,4031.0,random
94,4,2004,1,D.T.,pess,nat,pess_nat,14,7,8,HG,"['Blue', 'Yellow']",coop,def,10.0,0,2710.0,4470.0,random
95,4,2004,1,D.T.,pess,nat,pess_nat,15,3,5,SH,"['Blue', 'Yellow']",def,def,10.0,1,1638.0,2838.0,random
96,4,2004,2,E.B.,pess,inv,pess_inv,0,10,8,HG,"['Yellow', 'Blue']",def,coop,90.0,0,2089.0,4121.0,unknown
97,4,2004,2,E.B.,pess,inv,pess_inv,1,3,5,SH,"['Yellow', 'Blue']",coop,coop,90.0,1,23345.0,25490.0,unknown
98,4,2004,2,E.B.,pess,inv,pess_inv,2,7,12,SG,"['Yellow', 'Blue']",def,def,90.0,1,4997.0,11487.0,unknown
99,4,2004,2,E.B.,pess,inv,pess_inv,3,3,12,PD,"['Yellow', 'Blue']",coop,def,50.0,0,4275.0,5532.0,unknown
100,4,2004,2,E.B.,pess,inv,pess_inv,4,7,5,HG,"['Yellow', 'Blue']",def,coop,90.0,0,6624.0,7920.0,unknown
101,4,2004,2,E.B.,pess,inv,pess_inv,5,10,15,SG,"['Yellow', 'Blue']",def,def,30.0,1,4417.0,8513.0,unknown
102,4,2004,2,E.B.,pess,inv,pess_inv,6,0,12,PD,"['Yellow', 'Blue']",coop,coop,30.0,1,3008.0,4256.0,unknown
103,4,2004,2,E.B.,pess,inv,pess_inv,7,0,5,SH,"['Yellow', 'Blue']",coop,coop,60.0,1,3865.0,6369.0,unknown
104,4,2004,2,E.B.,pess,inv,pess_inv,8,10,5,HG,"['Yellow', 'Blue']",def,coop,90.0,0,15403.0,16723.0,unknown
