,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
259,8,2008,3,nat,opt_nat,coop,coop,100,1,0.7533725699792541,coop,1
260,8,2008,4,nat,opt_nat,def,def,100,1,0.2379034838907,def,1
261,8,2008,5,nat,opt_nat,coop,coop,100,1,0.7703085128295709,coop,1
262,8,2008,6,nat,opt_nat,coop,coop,100,1,0.7780463357374442,coop,1
263,8,2008,7,nat,opt_nat,def,def,100,1,0.214655225466034,def,1
264,8,2008,8,nat,opt_nat,def,def,100,1,0.20776417147693998,def,1
265,8,2008,9,nat,opt_nat,def,def,100,1,0.20125109408108802,def,1
266,8,2008,10,nat,opt_nat,coop,coop,100,1,0.804911020644979,coop,1
267,8,2008,11,nat,opt_nat,coop,coop,100,1,0.8107469824232109,coop,1
268,8,2008,12,nat,opt_nat,def,def,100,1,0.18372042249972,def,1
269,8,2008,13,nat,opt_nat,def,def,100,1,0.17847026152447198,def,1
270,8,2008,14,nat,opt_nat,coop,coop,100,1,0.8265167024900221,coop,1
271,8,2008,15,nat,opt_nat,coop,coop,100,1,0.831258157590005,coop,1
272,8,2008,0,nat,pess_nat,def,coop,100,0,0.7237028574065709,coop,0
273,8,2008,1,nat,pess_nat,def,def,80,1,0.305033789696155,def,1
274,8,2008,2,nat,pess_nat,coop,def,40,0,0.7072826945352779,coop,1
275,8,2008,3,nat,pess_nat,coop,def,100,0,0.281176737268378,def,0
276,8,2008,4,nat,pess_nat,def,coop,60,0,0.689997817012485,coop,0
277,8,2008,5,nat,pess_nat,coop,coop,60,1,0.660862684895406,coop,1
278,8,2008,6,nat,pess_nat,def,def,100,1,0.32464735300832503,def,1
279,8,2008,7,nat,pess_nat,coop,def,50,0,0.311083735240564,def,0
280,8,2008,8,nat,pess_nat,coop,def,50,0,0.340223601298986,def,0
281,8,2008,9,nat,pess_nat,def,coop,50,0,0.36931566305124297,def,1
282,8,2008,10,nat,pess_nat,def,coop,50,0,0.647101762175712,coop,0
283,8,2008,11,nat,pess_nat,coop,coop,50,1,0.6181308466553721,coop,1
284,8,2008,12,nat,pess_nat,coop,def,50,0,0.36465617576607,def,0
285,8,2008,13,nat,pess_nat,def,def,50,1,0.6065362477559711,coop,0
286,8,2008,14,nat,pess_nat,coop,coop,50,1,0.5783225706752171,coop,1
287,8,2008,15,nat,pess_nat,def,def,50,1,0.40199684932196794,def,1
288,8,2008,0,inv,opt_inv,def,coop,60,0,0.7237028574065709,coop,0
289,8,2008,1,inv,opt_inv,def,def,60,1,0.694966210303845,coop,0
290,8,2008,2,inv,opt_inv,coop,def,50,0,0.334140945608178,def,0
291,8,2008,3,inv,opt_inv,coop,coop,60,1,0.363270136420082,def,0
292,8,2008,4,inv,opt_inv,def,def,100,1,0.607900555525301,coop,0
293,8,2008,5,inv,opt_inv,coop,coop,100,1,0.42034713940814206,def,0
294,8,2008,6,inv,opt_inv,def,coop,100,0,0.5522200729831209,coop,0
